Repository,Granularity level,fine-grained commits,CGR type,CGR left,CGR right,CGR traced location,Cause,
sshj,2,"('ebe8332dce29538cceb4a2336bbb94817fb535dd', 'a1f1cd945c69e3b94d640d2414272f0435bd1f29')",Rename Parameter,src/main/java/net/schmizz/sshj/sftp/Requester.java@request : Request,src/main/java/net/schmizz/sshj/sftp/Requester.java@req : Request,"[BlameRes(sha1='ab6d176e2540e047f267a3b9c5a88058073b4e2e', oline='16', file_name='src/main/java/net/schmizz/sshj/sftp/Requester.java')]",G,
sshj,2,"('ebe8332dce29538cceb4a2336bbb94817fb535dd', 'a1f1cd945c69e3b94d640d2414272f0435bd1f29')",Move And Inline Method,"src/main/java/net/schmizz/sshj/sftp/Request.java@public getResponsePromise() : Promise<Response,SFTPException>","src/main/java/net/schmizz/sshj/sftp/SFTPEngine.java@public request(req Request) : Promise<Response,SFTPException>","[BlameRes(sha1='0b8039106a844a99921b57e74ae98a7ff87a05bd', oline='28', file_name='src/main/java/net/schmizz/sshj/sftp/Request.java')]",,
sshj,2,"('4d1e4ecaa7cb4d012e4c358a691625d1e1c22e46', '3cd638d3c853c4a2f308eae498cd1c03c74a5810')",Extract And Move Method,src/main/java/net/schmizz/sshj/sftp/RemoteDirectory.java@public scan(filter RemoteResourceFilter) : List<RemoteResourceInfo>,"src/main/java/net/schmizz/sshj/sftp/PathHelper.java@public getComponents(parent String, name String) : PathComponents","[BlameRes(sha1='b037f5bf9b277f6bb8e1115788c65b07eb2f0c2d', oline='16', file_name='src/main/java/net/schmizz/sshj/sftp/RemoteDirectory.java')]",,
sshj,2,"('4f891757b168cb5d097a9cae2623363606134f2b', '4fbbbe5a482c27dfa5d5266138670b39eb522335')",Rename Method,src/main/java/net/schmizz/sshj/xfer/FileSystemFile.java@public getChildren() : Iterable<LocalFile>,src/main/java/net/schmizz/sshj/xfer/FileSystemFile.java@public getOutputStream() : OutputStream,"[BlameRes(sha1='6765748f567454929d2a54d21501806050c9154d', oline='55', file_name='src/main/java/net/schmizz/sshj/xfer/FileSystemFile.java')]",,
sshj,2,"('4f891757b168cb5d097a9cae2623363606134f2b', '4fbbbe5a482c27dfa5d5266138670b39eb522335')",Rename Method,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@private init(target String) : void,"src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@private startCopy(sourceFile LocalSourceFile, targetPath String) : void","[BlameRes(sha1='c724a2aa839f1b064214c23fbc04609e71bb7756', oline='54', file_name='src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java')]",,
sshj,2,"('4f891757b168cb5d097a9cae2623363606134f2b', '4fbbbe5a482c27dfa5d5266138670b39eb522335')",Rename Parameter,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@target : String,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@targetPath : String,"[BlameRes(sha1='c724a2aa839f1b064214c23fbc04609e71bb7756', oline='54', file_name='src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java')]",,
sshj,2,"('4f891757b168cb5d097a9cae2623363606134f2b', '4fbbbe5a482c27dfa5d5266138670b39eb522335')",Add Parameter,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@private init(target String) : void,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@sourceFile : LocalSourceFile,"[BlameRes(sha1='c724a2aa839f1b064214c23fbc04609e71bb7756', oline='54', file_name='src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java')]",,
sshj,2,"('4f891757b168cb5d097a9cae2623363606134f2b', '4fbbbe5a482c27dfa5d5266138670b39eb522335')",Change Thrown Exception Type,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@SSHException,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@IOException,"[BlameRes(sha1='c724a2aa839f1b064214c23fbc04609e71bb7756', oline='55', file_name='src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java')]",,
sshj,2,"('4f891757b168cb5d097a9cae2623363606134f2b', '4fbbbe5a482c27dfa5d5266138670b39eb522335')",Add Method Modifier,src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@private init(target String) : void,"src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java@private startCopy(sourceFile LocalSourceFile, targetPath String) : void","[BlameRes(sha1='c724a2aa839f1b064214c23fbc04609e71bb7756', oline='54', file_name='src/main/java/net/schmizz/sshj/xfer/scp/SCPUploadClient.java')]",,
sshj,2,"('4f891757b168cb5d097a9cae2623363606134f2b', '4fbbbe5a482c27dfa5d5266138670b39eb522335')",Change Return Type,src/main/java/net/schmizz/sshj/xfer/LocalFile.java@Iterable<LocalFile>,src/main/java/net/schmizz/sshj/xfer/LocalSourceFile.java@Iterable<? extends LocalSourceFile>,"[BlameRes(sha1='ce1ed1f671d6930a734edea72b0b33e0c54e7590', oline='20', file_name='src/main/java/net/schmizz/sshj/xfer/LocalFile.java')]",,
